order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,discount_amount,total_amount
ORD00000001,CUST000571,2025-06-23 22:45:13,Processing,Cash,9270 Main St,Phoenix,PA,2.35,1157.3
ORD00000002,CUST000256,2024-11-08 22:45:13,Shipped,Bank Transfer,7639 Elm St,San Antonio,CA,20.94,2768.16
ORD00000003,CUST000526,2024-09-21 22:45:13,Processing,Credit Card,6777 Main St,Los Angeles,PA,3.07,2774.75
ORD00000004,CUST000040,2024-08-14 22:45:13,Completed,Credit Card,6707 Park St,San Diego,TX,48.53,4195.43
ORD00000005,CUST000988,2024-07-25 22:45:13,Cancelled,Cash,1714 Oak St,Los Angeles,CA,28.22,1648.12
ORD00000006,CUST000231,2024-08-20 22:45:13,Completed,Credit Card,6068 Main St,Phoenix,IL,13.76,4932.16
ORD00000007,CUST000148,2025-05-17 22:45:13,Cancelled,PayPal,1332 Park St,San Diego,PA,8.19,5218.19
ORD00000008,CUST000281,2025-07-10 22:45:13,Processing,Credit Card,4167 Oak St,Houston,PA,38.37,1231.68
ORD00000009,CUST000557,2024-09-05 22:45:13,Cancelled,PayPal,882 Elm St,Houston,AZ,2.82,3478.33
ORD00000010,CUST000682,2024-12-28 22:45:13,Processing,Bank Transfer,9378 Main St,New York,NY,16.16,312.99
ORD00000011,CUST000040,2025-05-02 22:45:13,Processing,PayPal,5683 Main St,San Diego,TX,42.83,2899.88
ORD00000012,CUST000611,2025-06-30 22:45:13,Completed,Bank Transfer,9020 Elm St,San Antonio,TX,19.25,6242.11
ORD00000013,CUST000974,2024-12-09 22:45:13,Cancelled,Credit Card,3558 Elm St,Philadelphia,PA,33.59,1381.56
ORD00000014,CUST000611,2024-08-28 22:45:13,Shipped,Cash,9977 Main St,San Antonio,TX,21.96,9675.19
ORD00000015,CUST000048,2024-12-06 22:45:13,Processing,Cash,8589 Oak St,Phoenix,TX,15.57,4844.25
ORD00000016,CUST000211,2025-06-20 22:45:13,Completed,Bank Transfer,5774 Oak St,San Diego,TX,40.09,196.83
ORD00000017,CUST000012,2024-11-13 22:45:13,Cancelled,PayPal,7299 Oak St,San Jose,PA,0.91,3912.69
ORD00000018,CUST000132,2025-03-05 22:45:13,Shipped,Bank Transfer,651 Elm St,Houston,AZ,2.22,279.23
ORD00000019,CUST000466,2024-08-19 22:45:13,Cancelled,PayPal,9249 Oak St,Los Angeles,CA,20.8,2250.28
ORD00000020,CUST000902,2025-04-28 22:45:13,Processing,Bank Transfer,6625 Elm St,San Antonio,AZ,35.95,752.36
ORD00000021,CUST000275,2025-05-24 22:45:13,Processing,Cash,3563 Oak St,New York,PA,39.37,7984.48
ORD00000022,CUST000605,2025-04-19 22:45:13,Completed,PayPal,7521 Main St,Dallas,PA,1.18,3692.74
ORD00000023,CUST000375,2025-03-21 22:45:13,Cancelled,Bank Transfer,6062 Park St,Houston,CA,14.85,2471.04
ORD00000024,CUST000527,2024-08-21 22:45:13,Processing,Cash,9562 Elm St,San Jose,IL,9.8,12657.18
ORD00000025,CUST000935,2025-07-19 22:45:13,Cancelled,Bank Transfer,8889 Park St,Phoenix,TX,13.04,5890.64
ORD00000026,CUST000858,2024-08-02 22:45:13,Cancelled,Cash,176 Park St,San Diego,AZ,49.87,8389.23
ORD00000027,CUST000599,2024-12-24 22:45:13,Completed,Cash,7298 Main St,New York,NY,43.79,4875.64
ORD00000028,CUST000457,2024-07-28 22:45:13,Cancelled,Cash,4358 Oak St,Dallas,CA,33.0,377.22
ORD00000029,CUST000661,2025-04-25 22:45:13,Completed,Cash,1047 Oak St,San Jose,TX,22.03,1615.52
ORD00000030,CUST000970,2025-03-25 22:45:13,Cancelled,PayPal,4293 Oak St,New York,NY,2.01,3759.59
ORD00000031,CUST000407,2024-08-22 22:45:13,Cancelled,PayPal,7419 Park St,San Diego,PA,31.49,6165.41
ORD00000032,CUST000022,2025-07-15 22:45:13,Cancelled,Cash,3197 Oak St,San Jose,NY,42.05,2810.78
ORD00000033,CUST000064,2024-09-01 22:45:13,Completed,Credit Card,2245 Oak St,Los Angeles,PA,45.6,5637.71
ORD00000034,CUST000470,2024-07-31 22:45:13,Shipped,Bank Transfer,5312 Park St,Philadelphia,TX,19.97,9104.51
ORD00000035,CUST000800,2025-02-07 22:45:13,Shipped,PayPal,3128 Oak St,San Jose,CA,25.18,3784.71
ORD00000036,CUST000066,2025-03-08 22:45:13,Processing,Cash,1035 Elm St,Philadelphia,TX,49.9,3701.97
ORD00000037,CUST000804,2025-01-10 22:45:13,Processing,PayPal,1391 Elm St,Philadelphia,AZ,34.06,4135.99
ORD00000038,CUST000195,2025-07-11 22:45:13,Completed,PayPal,7461 Park St,New York,NY,41.16,5669.83
ORD00000039,CUST000217,2024-09-26 22:45:13,Cancelled,Cash,5191 Oak St,Phoenix,CA,34.54,8387.37
ORD00000040,CUST000159,2024-09-17 22:45:13,Cancelled,Cash,2313 Main St,Los Angeles,PA,0.96,1735.34
ORD00000041,CUST000605,2024-12-12 22:45:13,Processing,Bank Transfer,771 Oak St,Dallas,PA,37.38,5556.24
ORD00000042,CUST000896,2024-10-06 22:45:13,Completed,Cash,6455 Main St,Los Angeles,NY,33.37,4583.37
ORD00000043,CUST000683,2025-02-15 22:45:13,Completed,Bank Transfer,8071 Oak St,San Diego,CA,32.63,6603.1
ORD00000044,CUST000011,2025-02-22 22:45:13,Shipped,Bank Transfer,9086 Elm St,San Jose,CA,12.46,13102.87
ORD00000045,CUST000541,2025-02-22 22:45:13,Completed,Bank Transfer,9789 Oak St,San Jose,TX,29.14,282.82
ORD00000046,CUST000555,2024-12-13 22:45:13,Completed,PayPal,2534 Elm St,San Diego,CA,7.05,2467.35
ORD00000047,CUST000443,2025-03-03 22:45:13,Cancelled,Bank Transfer,7051 Elm St,Dallas,PA,25.38,8411.93
ORD00000048,CUST000657,2024-07-29 22:45:13,Cancelled,PayPal,231 Park St,Houston,CA,37.65,7100.33
ORD00000049,CUST000833,2024-08-12 22:45:13,Completed,Cash,8188 Oak St,Dallas,AZ,23.9,5907.77
ORD00000050,CUST000510,2025-05-26 22:45:13,Shipped,Cash,6162 Elm St,Los Angeles,CA,46.45,1135.85
ORD00000051,CUST000076,2024-12-06 22:45:13,Processing,Bank Transfer,6823 Oak St,Philadelphia,CA,8.57,2078.23
ORD00000052,CUST000268,2025-02-26 22:45:13,Completed,Credit Card,935 Elm St,New York,CA,20.78,3472.23
ORD00000053,CUST000956,2025-01-13 22:45:13,Processing,Credit Card,9605 Park St,San Jose,CA,28.42,2775.18
ORD00000054,CUST000506,2024-11-15 22:45:13,Cancelled,PayPal,3079 Oak St,San Antonio,PA,12.44,8247.42
ORD00000055,CUST000208,2024-11-09 22:45:13,Completed,Cash,2603 Oak St,San Diego,TX,32.52,2563.99
ORD00000056,CUST000961,2024-09-30 22:45:13,Processing,Cash,6009 Oak St,New York,CA,36.33,11556.15
ORD00000057,CUST000130,2025-03-16 22:45:13,Shipped,PayPal,9920 Elm St,Philadelphia,CA,12.08,5257.17
ORD00000058,CUST000463,2025-05-05 22:45:13,Completed,Cash,7178 Main St,New York,TX,11.09,2342.03
ORD00000059,CUST000865,2025-04-25 22:45:13,Cancelled,Bank Transfer,402 Elm St,San Antonio,NY,3.02,8987.93
ORD00000060,CUST000841,2024-11-15 22:45:13,Shipped,Cash,8047 Main St,Chicago,CA,37.81,4024.93
ORD00000061,CUST000591,2025-06-02 22:45:13,Processing,Credit Card,2261 Park St,San Antonio,PA,30.28,8881.03
ORD00000062,CUST000555,2024-07-23 22:45:13,Processing,Credit Card,1919 Park St,San Diego,CA,3.37,3446.51
ORD00000063,CUST000133,2024-09-30 22:45:13,Completed,Bank Transfer,8674 Park St,Dallas,CA,4.02,9558.4
ORD00000064,CUST000058,2025-01-31 22:45:13,Cancelled,PayPal,7288 Oak St,New York,NY,12.16,2725.5
ORD00000065,CUST000246,2024-09-01 22:45:13,Cancelled,Credit Card,8565 Elm St,Philadelphia,TX,21.91,6602.1
ORD00000066,CUST000799,2025-02-09 22:45:13,Cancelled,Credit Card,7735 Elm St,Los Angeles,CA,4.99,9881.19
ORD00000067,CUST000459,2025-05-21 22:45:13,Shipped,Credit Card,8723 Elm St,Dallas,PA,6.23,3563.71
ORD00000068,CUST000226,2025-01-26 22:45:13,Completed,Cash,1709 Park St,San Diego,PA,21.38,2417.72
ORD00000069,CUST000461,2025-04-22 22:45:13,Processing,Cash,6515 Main St,New York,CA,30.01,175.99
ORD00000070,CUST000674,2024-11-15 22:45:13,Shipped,PayPal,2038 Park St,Los Angeles,NY,18.15,5985.3
ORD00000071,CUST000421,2025-05-25 22:45:13,Processing,Cash,6680 Elm St,Dallas,IL,40.42,2247.11
ORD00000072,CUST000617,2025-02-12 22:45:13,Completed,Cash,5952 Elm St,Philadelphia,AZ,0.23,10451.86
ORD00000073,CUST000362,2025-05-22 22:45:13,Shipped,Cash,5511 Park St,San Jose,CA,38.02,832.23
ORD00000074,CUST000599,2024-12-26 22:45:13,Processing,PayPal,7639 Oak St,New York,NY,32.55,10508.6
ORD00000075,CUST000783,2025-05-13 22:45:13,Shipped,Credit Card,4451 Elm St,San Antonio,CA,15.02,9322.59
ORD00000076,CUST000474,2025-06-01 22:45:13,Completed,Credit Card,922 Oak St,Phoenix,AZ,7.55,9057.03
ORD00000077,CUST000074,2025-05-22 22:45:13,Processing,Cash,2501 Oak St,New York,CA,6.38,3154.59
ORD00000078,CUST000264,2024-10-04 22:45:13,Completed,Bank Transfer,8607 Oak St,San Jose,NY,2.15,2544.89
ORD00000079,CUST000533,2024-09-10 22:45:13,Shipped,Cash,6452 Oak St,Phoenix,CA,13.77,4324.31
ORD00000080,CUST000735,2025-06-06 22:45:13,Processing,Credit Card,7804 Elm St,San Diego,TX,3.05,866.44
ORD00000081,CUST000958,2024-11-07 22:45:13,Completed,Bank Transfer,6533 Elm St,New York,CA,44.47,133.93
ORD00000082,CUST000030,2025-01-29 22:45:13,Shipped,Bank Transfer,3180 Oak St,New York,PA,41.53,3925.85
ORD00000083,CUST000820,2024-11-07 22:45:13,Processing,Cash,8488 Main St,Houston,IL,10.35,5320.67
ORD00000084,CUST000047,2024-08-15 22:45:13,Processing,Cash,4017 Oak St,New York,TX,34.31,765.91
ORD00000085,CUST000277,2025-01-31 22:45:13,Completed,Bank Transfer,3829 Elm St,San Diego,TX,14.69,3166.38
ORD00000086,CUST000961,2025-01-14 22:45:13,Completed,Cash,7427 Park St,New York,CA,4.15,5466.42
ORD00000087,CUST000139,2025-05-24 22:45:13,Completed,Credit Card,865 Oak St,San Jose,TX,9.3,2775.06
ORD00000088,CUST000978,2025-01-07 22:45:13,Completed,Cash,4145 Elm St,Los Angeles,TX,24.15,4583.59
